date,hour_interval,mean_temp
2015-02-23,0400-0800,29.0
2015-02-23,0800-1200,21.0
2015-02-23,1200-1600,22.5
2015-02-23,1600-2000,16.0
2015-02-23,2000-0000,7.4
2015-02-24,0000-0400,6.5
2015-02-24,0400-0800,5.0
2015-02-24,0800-1200,12.0
2015-02-24,1200-1600,20.5
2015-02-24,1600-2000,22.25
2015-02-24,2000-0000,18.8
2015-02-25,0000-0400,22.25
2015-02-25,0400-0800,20.75
2015-02-25,0800-1200,29.75
2015-02-25,1200-1600,36.25
2015-02-25,1600-2000,35.5
2015-02-25,2000-0000,26.6
2015-02-26,0000-0400,27.75
2015-02-26,0400-0800,22.25
2015-02-26,0800-1200,23.25
2015-02-26,1200-1600,25.571428571428573
2015-02-26,1600-2000,25.75
2015-02-26,2000-0000,18.0
2015-02-27,0000-0400,20.75
2015-02-27,0400-0800,18.75
2015-02-27,0800-1200,21.75
2015-02-27,1200-1600,28.5
2015-02-27,1600-2000,27.5
2015-02-27,2000-0000,18.4
2015-02-28,0000-0400,17.75
2015-02-28,0400-0800,14.25
2015-02-28,0800-1200,19.5
2015-02-28,1200-1600,26.5
2015-02-28,1600-2000,28.25
2015-02-28,2000-0000,21.4
2015-03-01,0000-0400,25.5
2015-03-01,0400-0800,26.5
2015-03-01,0800-1200,30.0
2015-03-01,1200-1600,26.636363636363637
2015-03-01,1600-2000,27.181818181818183
2015-03-01,2000-0000,25.428571428571427
2015-03-02,0000-0400,28.875
2015-03-02,0400-0800,31.6
2015-03-02,0800-1200,34.285714285714285
2015-03-02,1200-1600,37.5
2015-03-02,1600-2000,35.5
2015-03-02,2000-0000,23.6
2015-03-03,0000-0400,25.75
2015-03-03,0400-0800,24.0
2015-03-03,0800-1200,29.25
2015-03-03,1200-1600,30.571428571428573
2015-03-03,1600-2000,30.857142857142858
2015-03-03,2000-0000,29.857142857142858
2015-03-04,0000-0400,36.0
2015-03-04,0400-0800,36.083333333333336
2015-03-04,0800-1200,40.333333333333336
2015-03-04,1200-1600,44.5
2015-03-04,1600-2000,43.0
2015-03-04,2000-0000,36.77777777777778
2015-03-05,0000-0400,36.75
2015-03-05,0400-0800,31.666666666666668
2015-03-05,0800-1200,26.53846153846154
2015-03-05,1200-1600,20.571428571428573
2015-03-05,1600-2000,20.125
2015-03-05,2000-0000,16.666666666666668
2015-03-06,0000-0400,15.6
2015-03-06,0400-0800,13.25
2015-03-06,0800-1200,19.5
2015-03-06,1200-1600,24.5
2015-03-06,1600-2000,24.5
2015-03-06,2000-0000,17.6
2015-03-07,0000-0400,19.75
2015-03-07,0400-0800,18.75
2015-03-07,0800-1200,26.75
2015-03-07,1200-1600,35.25
2015-03-07,1600-2000,37.5
2015-03-07,2000-0000,30.2
2015-03-08,0000-0400,38.75
2015-03-08,0400-0800,38.75
2015-03-08,0800-1200,45.25
2015-03-08,1200-1600,44.25
2015-03-08,1600-2000,45.5
2015-03-08,2000-0000,34.6
2015-03-09,0000-0400,41.5
2015-03-09,0400-0800,42.75
2015-03-09,0800-1200,48.0
2015-03-09,1200-1600,52.75
2015-03-09,1600-2000,52.0
2015-03-09,2000-0000,38.4
2015-03-10,0000-0400,45.0
2015-03-10,0400-0800,42.25
2015-03-10,0800-1200,49.75
2015-03-10,1200-1600,51.5
2015-03-10,1600-2000,45.61538461538461
2015-03-10,2000-0000,41.38461538461539
2015-03-11,0000-0400,45.285714285714285
2015-03-11,0400-0800,45.4
2015-03-11,0800-1200,49.0
2015-03-11,1200-1600,56.75
2015-03-11,1600-2000,56.0
2015-03-11,2000-0000,39.4
2015-03-12,0000-0400,44.5
2015-03-12,0400-0800,41.25
2015-03-12,0800-1200,43.0
2015-03-12,1200-1600,46.0
2015-03-12,1600-2000,43.5
2015-03-12,2000-0000,30.6
2015-03-13,0000-0400,34.5
2015-03-13,0400-0800,32.75
2015-03-13,0800-1200,39.5
2015-03-13,1200-1600,41.25
2015-03-13,1600-2000,39.25
2015-03-13,2000-0000,32.8
2015-03-14,0000-0400,41.5
2015-03-14,0400-0800,42.666666666666664
2015-03-14,0800-1200,45.111111111111114
2015-03-14,1200-1600,48.857142857142854
2015-03-14,1600-2000,46.714285714285715
2015-03-14,2000-0000,38.285714285714285
2015-03-15,0000-0400,43.666666666666664
2015-03-15,0400-0800,41.75
2015-03-15,0800-1200,41.75
2015-03-15,1200-1600,41.75
2015-03-15,1600-2000,39.5
2015-03-15,2000-0000,29.6
2015-03-16,0000-0400,35.5
2015-03-16,0400-0800,36.25
2015-03-16,0800-1200,40.0
2015-03-16,1200-1600,48.75
2015-03-16,1600-2000,49.25
2015-03-16,2000-0000,40.4
2015-03-17,0000-0400,49.75
2015-03-17,0400-0800,49.0
2015-03-17,0800-1200,54.0
2015-03-17,1200-1600,52.0
2015-03-17,1600-2000,40.0
2015-03-17,2000-0000,27.8
2015-03-18,0000-0400,32.5
2015-03-18,0400-0800,30.25
2015-03-18,0800-1200,32.75
2015-03-18,1200-1600,36.75
2015-03-18,1600-2000,35.25
2015-03-18,2000-0000,24.8
2015-03-19,0000-0400,30.25
2015-03-19,0400-0800,29.5
2015-03-19,0800-1200,34.25
2015-03-19,1200-1600,40.5
2015-03-19,1600-2000,40.5
2015-03-19,2000-0000,30.0
2015-03-20,0000-0400,34.5
2015-03-20,0400-0800,33.75
2015-03-20,0800-1200,36.166666666666664
2015-03-20,1200-1600,32.666666666666664
2015-03-20,1600-2000,30.142857142857142
2015-03-20,2000-0000,26.2
2015-03-21,0000-0400,28.875
2015-03-21,0400-0800,29.0
2015-03-21,0800-1200,34.666666666666664
2015-03-21,1200-1600,42.0
2015-03-21,1600-2000,45.0
2015-03-21,2000-0000,36.2
2015-03-22,0000-0400,39.25
2015-03-22,0400-0800,33.25
2015-03-22,0800-1200,36.75
2015-03-22,1200-1600,40.5
2015-03-22,1600-2000,36.5
2015-03-22,2000-0000,23.8
2015-03-23,0000-0400,25.75
2015-03-23,0400-0800,23.5
2015-03-23,0800-1200,30.5
2015-03-23,1200-1600,36.75
2015-03-23,1600-2000,35.25
2015-03-23,2000-0000,25.4
2015-03-24,0000-0400,29.5
2015-03-24,0400-0800,26.5
2015-03-24,0800-1200,32.75
2015-03-24,1200-1600,42.0
2015-03-24,1600-2000,41.75
2015-03-24,2000-0000,30.8
2015-03-25,0000-0400,36.0
2015-03-25,0400-0800,36.0
2015-03-25,0800-1200,46.25
2015-03-25,1200-1600,42.0
2015-03-25,1600-2000,40.833333333333336
2015-03-25,2000-0000,37.0
2015-03-26,0000-0400,42.72727272727273
2015-03-26,0400-0800,45.4
2015-03-26,0800-1200,48.666666666666664
2015-03-26,1200-1600,52.357142857142854
2015-03-26,1600-2000,57.75
2015-03-26,2000-0000,44.53333333333333
2015-03-27,0000-0400,42.57142857142857
2015-03-27,0400-0800,39.166666666666664
2015-03-27,0800-1200,41.875
2015-03-27,1200-1600,44.375
2015-03-27,1600-2000,44.0
2015-03-27,2000-0000,33.2
2015-03-28,0000-0400,37.5
2015-03-28,0400-0800,34.5
2015-03-28,0800-1200,33.833333333333336
2015-03-28,1200-1600,38.25
2015-03-28,1600-2000,34.25
2015-03-28,2000-0000,22.4
2015-03-29,0000-0400,26.25
2015-03-29,0400-0800,26.0
2015-03-29,0800-1200,35.0
2015-03-29,1200-1600,43.25
2015-03-29,1600-2000,44.0
2015-03-29,2000-0000,32.6
2015-03-30,0000-0400,39.0
2015-03-30,0400-0800,37.22222222222222
2015-03-30,0800-1200,41.75
2015-03-30,1200-1600,51.5
2015-03-30,1600-2000,51.0
2015-03-30,2000-0000,36.0
2015-03-31,0000-0400,42.5
2015-03-31,0400-0800,40.5
2015-03-31,0800-1200,45.25
2015-03-31,1200-1600,38.833333333333336
2015-03-31,1600-2000,37.111111111111114
2015-03-31,2000-0000,32.833333333333336
2015-04-01,0000-0400,34.25
2015-04-01,0400-0800,33.0
2015-04-01,0800-1200,39.5
2015-04-01,1200-1600,48.25
2015-04-01,1600-2000,48.75
2015-04-01,2000-0000,36.0
2015-04-02,0000-0400,42.5
2015-04-02,0400-0800,45.25
2015-04-02,0800-1200,55.75
2015-04-02,1200-1600,65.25
2015-04-02,1600-2000,60.0
2015-04-02,2000-0000,47.2
2015-04-03,0000-0400,60.75
2015-04-03,0400-0800,61.25
2015-04-03,0800-1200,62.0
2015-04-03,1200-1600,62.2
2015-04-03,1600-2000,62.4
2015-04-03,2000-0000,60.25
2015-04-04,0000-0400,58.625
2015-04-04,0400-0800,48.333333333333336
2015-04-04,0800-1200,49.25
2015-04-04,1200-1600,50.25
2015-04-04,1600-2000,47.5
2015-04-04,2000-0000,35.0
2015-04-05,0000-0400,43.0
2015-04-05,0400-0800,43.0
2015-04-05,0800-1200,52.25
2015-04-05,1200-1600,59.25
2015-04-05,1600-2000,57.0
2015-04-05,2000-0000,38.2
2015-04-06,0000-0400,45.0
2015-04-06,0400-0800,43.75
