date,hour_interval,total_precip
2015-02-11,1600-2000,0.0
2015-02-11,2000-0000,0.0
2015-02-12,0000-0400,0.0
2015-02-12,0400-0800,0.0
2015-02-12,0800-1200,0.0
2015-02-12,1200-1600,0.0
2015-02-12,1600-2000,0.0
2015-02-12,2000-0000,0.0
2015-02-13,0000-0400,0.0
2015-02-13,0400-0800,0.0
2015-02-13,0800-1200,0.0
2015-02-13,1200-1600,0.0
2015-02-13,1600-2000,0.0
2015-02-13,2000-0000,0.0
2015-02-14,0000-0400,0.0
2015-02-14,0400-0800,0.0
2015-02-14,0800-1200,0.0
2015-02-14,1200-1600,0.01
2015-02-14,1600-2000,0.0
2015-02-14,2000-0000,0.01
2015-02-15,0000-0400,0.0
2015-02-15,0400-0800,0.0
2015-02-15,0800-1200,0.0
2015-02-15,1200-1600,0.0
2015-02-15,1600-2000,0.0
2015-02-15,2000-0000,0.0
2015-02-16,0000-0400,0.0
2015-02-16,0400-0800,0.0
2015-02-16,0800-1200,0.0
2015-02-16,1200-1600,0.0
2015-02-16,1600-2000,0.0
2015-02-16,2000-0000,0.0
2015-02-17,0000-0400,0.05
2015-02-17,0400-0800,0.13
2015-02-17,0800-1200,0.02
2015-02-17,1200-1600,0.0
2015-02-17,1600-2000,0.0
2015-02-17,2000-0000,0.0
2015-02-18,0000-0400,0.0
2015-02-18,0400-0800,0.0
2015-02-18,0800-1200,0.0
2015-02-18,1200-1600,0.0
2015-02-18,1600-2000,0.0
2015-02-18,2000-0000,0.0
2015-02-19,0000-0400,0.0
2015-02-19,0400-0800,0.0
2015-02-19,0800-1200,0.0
2015-02-19,1200-1600,0.0
2015-02-19,1600-2000,0.0
2015-02-19,2000-0000,0.0
2015-02-20,0000-0400,0.0
2015-02-20,0400-0800,0.0
2015-02-20,0800-1200,0.0
2015-02-20,1200-1600,0.0
2015-02-20,1600-2000,0.0
2015-02-20,2000-0000,0.0
2015-02-21,0000-0400,0.0
2015-02-21,0400-0800,0.0
2015-02-21,0800-1200,0.0
2015-02-21,1200-1600,0.16
2015-02-21,1600-2000,0.27
2015-02-21,2000-0000,0.45
2015-02-22,0000-0400,0.07
2015-02-22,0400-0800,0.2
2015-02-22,0800-1200,0.0
2015-02-22,1200-1600,0.0
2015-02-22,1600-2000,0.0
2015-02-22,2000-0000,0.0
2015-02-23,0000-0400,0.0
2015-02-23,0400-0800,0.0
2015-02-23,0800-1200,0.0
2015-02-23,1200-1600,0.0
2015-02-23,1600-2000,0.0
2015-02-23,2000-0000,0.0
2015-02-24,0000-0400,0.0
2015-02-24,0400-0800,0.0
2015-02-24,0800-1200,0.0
2015-02-24,1200-1600,0.0
2015-02-24,1600-2000,0.0
2015-02-24,2000-0000,0.0
2015-02-25,0000-0400,0.0
2015-02-25,0400-0800,0.0
2015-02-25,0800-1200,0.0
2015-02-25,1200-1600,0.0
2015-02-25,1600-2000,0.0
2015-02-25,2000-0000,0.0
2015-02-26,0000-0400,0.0
2015-02-26,0400-0800,0.0
2015-02-26,0800-1200,0.0
2015-02-26,1200-1600,0.0
2015-02-26,1600-2000,0.0
2015-02-26,2000-0000,0.0
2015-02-27,0000-0400,0.0
2015-02-27,0400-0800,0.0
2015-02-27,0800-1200,0.0
2015-02-27,1200-1600,0.0
2015-02-27,1600-2000,0.0
2015-02-27,2000-0000,0.0
2015-02-28,0000-0400,0.0
2015-02-28,0400-0800,0.0
2015-02-28,0800-1200,0.0
2015-02-28,1200-1600,0.0
2015-02-28,1600-2000,0.0
2015-02-28,2000-0000,0.0
2015-03-01,0000-0400,0.0
2015-03-01,0400-0800,0.0
2015-03-01,0800-1200,0.0
2015-03-01,1200-1600,0.35
2015-03-01,1600-2000,0.6200000000000002
2015-03-01,2000-0000,0.17
2015-03-02,0000-0400,0.0
2015-03-02,0400-0800,0.0
2015-03-02,0800-1200,0.0
2015-03-02,1200-1600,0.0
2015-03-02,1600-2000,0.0
2015-03-02,2000-0000,0.0
2015-03-03,0000-0400,0.0
2015-03-03,0400-0800,0.0
2015-03-03,0800-1200,0.0
2015-03-03,1200-1600,0.03
2015-03-03,1600-2000,0.8
2015-03-03,2000-0000,0.45
2015-03-04,0000-0400,0.0
2015-03-04,0400-0800,0.05
2015-03-04,0800-1200,0.03
2015-03-04,1200-1600,0.0
2015-03-04,1600-2000,0.0
2015-03-04,2000-0000,0.38
2015-03-05,0000-0400,0.27
2015-03-05,0400-0800,0.17
2015-03-05,0800-1200,0.55
2015-03-05,1200-1600,0.21000000000000002
2015-03-05,1600-2000,0.060000000000000005
2015-03-05,2000-0000,0.0
2015-03-06,0000-0400,0.0
2015-03-06,0400-0800,0.0
2015-03-06,0800-1200,0.0
2015-03-06,1200-1600,0.0
2015-03-06,1600-2000,0.0
2015-03-06,2000-0000,0.0
2015-03-07,0000-0400,0.0
2015-03-07,0400-0800,0.0
2015-03-07,0800-1200,0.0
2015-03-07,1200-1600,0.0
2015-03-07,1600-2000,0.0
2015-03-07,2000-0000,0.0
2015-03-08,0000-0400,0.0
2015-03-08,0400-0800,0.0
2015-03-08,0800-1200,0.0
2015-03-08,1200-1600,0.0
2015-03-08,1600-2000,0.0
2015-03-08,2000-0000,0.0
2015-03-09,0000-0400,0.0
2015-03-09,0400-0800,0.01
2015-03-09,0800-1200,0.0
2015-03-09,1200-1600,0.0
2015-03-09,1600-2000,0.0
2015-03-09,2000-0000,0.0
2015-03-10,0000-0400,0.0
2015-03-10,0400-0800,0.0
2015-03-10,0800-1200,0.0
2015-03-10,1200-1600,0.01
2015-03-10,1600-2000,0.45000000000000007
2015-03-10,2000-0000,0.4800000000000001
2015-03-11,0000-0400,0.01
2015-03-11,0400-0800,0.0
2015-03-11,0800-1200,0.0
2015-03-11,1200-1600,0.0
