CMPLNT_NUM, ID
451644724,66
488287961,28
496196387,169
505051094,33
505051094,35
508889979,177
536446758,45
581241557,15
591122993,150
611242311,9
659306790,150
668330520,150
671710113,150
683911987,15
718147012,1
723612156,47
724634490,64
740725164,13
749384274,83
762370423,150
782561919,27
788739345,61
825078589,150
848607702,24
868170164,4
877627414,9
889248010,45
903520637,150
912033583,125
920463475,31
955706078,15
973494254,169
981461083,182
993733108,15
101336898,27
104977450,16
105235520,58
119243262,169
132138901,150
170739918,61
174450342,177
192716046,13
193420353,150
216821996,1
217076152,7
224252422,13
233259157,20
240910911,169
294341353,13
296295352,16
329277822,4
336976851,1
337002748,67
399754019,146
406237484,67
408474189,47
444726266,27
466979791,178
470105312,88
481316408,172
493920008,21
504192991,9
507803308,179
510877299,4
532775676,53
572008929,46
629751547,150
630926450,65
630926450,160
635368678,169
636527992,150
637939053,169
641807477,150
665203441,150
688979560,6
700007457,47
706594383,177
715040778,65
715040778,160
721926243,169
723460638,67
749112715,120
802144181,20
806901373,146
812373100,150
832184000,169
847953091,13
856858951,27
872619395,9
890319551,177
908323216,177
918269561,169
918779050,27
944834764,169
945735417,1
981324105,13
164500507,158
178778717,13
204118514,136
211268318,57
240730904,49
282532192,169
286529185,169
294903825,48
325107502,150
375916537,146
394995743,24
396415081,177
434292780,30
437678385,83
464934179,21
465548238,150
487964484,13
515202505,153
547441091,150
552114160,27
563520795,13
582744693,47
586452825,150
597739001,150
614359560,150
636784844,150
649041214,150
698144149,150
723381152,20
750836234,45
758102174,27
767122075,66
773188213,150
786957646,150
803035000,40
820470996,100
822223944,83
865159292,9
874942875,9
884662332,65
884662332,160
901639669,169
906080735,88
909758347,65
909758347,160
944667610,21
952513542,67
963239776,67
974247122,30
978929091,169
988744735,177
997482761,66
112926132,150
154611999,150
156520974,18
165266562,150
177581354,123
217215466,47
252107925,54
260564963,161
287422557,161
287965908,150
291914958,4
292506037,140
296767687,150
375185234,45
380863799,33
380863799,35
383494958,150
396579293,120
444264060,136
459681111,40
462630955,177
489985901,150
546147040,169
564953390,45
569832787,125
620000920,120
647960325,140
648081393,12
649034548,150
676771848,62
677163833,67
739692798,9
774515831,62
775147919,177
793358935,169
822464845,50
863507867,66
865420553,169
871358169,150
877207025,12
878865837,64
899094627,150
922284272,95
930818784,150
954529457,115
106663142,48
113185978,4
123522344,4
181594569,47
183829263,6
194316869,177
221100347,169
233627480,66
236070089,140
238326727,1
271783805,1
275154207,150
278417909,33
278417909,35
281371127,177
290066712,13
301911024,150
303394364,30
329853148,4
335882926,13
397845299,10
435653585,150
450048472,13
465231508,139
475856150,120
477206354,169
493248757,9
495890307,48
528023626,66
530115866,177
532338955,47
535316049,177
543096947,150
548466565,14
565713128,15
572217244,53
597512183,150
604281107,13
611624680,145
656572445,150
673679477,27
675009027,46
704090281,58
739471850,45
765215726,169
817817142,177
855727642,150
899629361,62
901816018,169
926231039,1
966662240,9
119340273,66
128765695,146
152785863,133
155629970,150
170796378,150
174123015,88
181375373,24
207388354,27
223467826,133
234521949,169
242050723,150
260052288,150
271119290,177
276014787,177
323233998,6
325532079,45
342828717,13
371442742,140
380806590,169
399557671,45
484483061,24
512821616,67
542538986,83
567129448,177
588980088,169
603249191,45
638666838,74
642411101,15
646186794,42
648463366,150
651981561,150
652367505,4
655789356,177
693468758,91
719750810,45
740142219,169
761639201,150
777514086,173
797696734,49
805566893,169
829618996,20
858651712,161
