CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,hour,hour_interval,PD_DESC,LAW_CAT_CD,BORO_NM,ADDR_PCT_CD,PREM_TYP_DESC,Latitude,Longitude,Lat_Lon,Subway_Station_ID,Station_Name,Line_Name,Division,Station_Name_w_Line
369938729,2015-12-24,21:00:00,0.0,2000-0000,"LARCENY,GRAND FROM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)",FELONY,MANHATTAN,26.0,TRANSIT - NYC SUBWAY,40.808012927,-73.963903684,"(40.808012927, -73.963903684)",11,116 ST-COLUMBIA,1,IRT,116 ST-COLUMBIA (1)
609774897,2015-12-24,19:15:00,20.0,1600-2000,"LEWDNESS,PUBLIC",MISDEMEANOR,MANHATTAN,5.0,TRANSIT - NYC SUBWAY,40.724243555,-73.99778628,"(40.724243555, -73.99778628)",172,PRINCE ST,NR,BMT,PRINCE ST (NR)
843235091,2015-12-24,18:05:00,20.0,1600-2000,"HARASSMENT,SUBD 1,CIVILIAN",VIOLATION,MANHATTAN,18.0,TRANSIT - NYC SUBWAY,40.765024079,-73.98483595,"(40.765024079, -73.98483595)",83,50 ST,CE,IND,50 ST (CE)
827600885,2015-12-24,11:00:00,12.0,0800-1200,"LARCENY,GRAND FROM PERSON,UNCL",FELONY,MANHATTAN,7.0,TRANSIT - NYC SUBWAY,40.714060101,-73.990200647,"(40.714060101, -73.990200647)",150,EAST BROADWAY,F,IND,EAST BROADWAY (F)
469809305,2015-12-24,08:45:00,12.0,0800-1200,"LARCENY,PETIT BY ACQUIRING LOS",MISDEMEANOR,MANHATTAN,13.0,TRANSIT - NYC SUBWAY,40.737203099,-73.983272598,"(40.737203099, -73.983272598)",47,23 ST,6,IRT,23 ST (6)
453682747,2015-12-24,04:00:00,8.0,0400-0800,"LARCENY,GRAND FROM PERSON,LUSH WORKER(SLEEPING/UNCON VICTIM)",FELONY,MANHATTAN,34.0,TRANSIT - NYC SUBWAY,40.86770011,-73.921215047,"(40.86770011, -73.921215047)",163,INWOOD-207 ST,A,IND,INWOOD-207 ST (A)
139933167,2015-12-23,23:00:00,0.0,2000-0000,CRIMINAL MIS 2 & 3,FELONY,MANHATTAN,32.0,TRANSIT - NYC SUBWAY,40.82357528,-73.937674609,"(40.82357528, -73.937674609)",161,HARLEM 148 ST,3,IRT,HARLEM 148 ST (3)
451644724,2015-12-23,21:47:00,0.0,2000-0000,RESISTING ARREST,MISDEMEANOR,MANHATTAN,14.0,TRANSIT - NYC SUBWAY,40.757240531,-73.98979363699999,"(40.757240531, -73.989793637)",66,42 ST-PA BUS TE,ACENGRS1237,IND,42 ST-PA BUS TE (ACENGRS1237)
136448673,2015-12-23,21:15:00,0.0,2000-0000,"HARASSMENT,SUBD 1,CIVILIAN",VIOLATION,MANHATTAN,18.0,TRANSIT - NYC SUBWAY,40.758030031,-73.98179465300001,"(40.758030031, -73.981794653)",72,47-50 ST-ROCK,BDFM,IND,47-50 ST-ROCK (BDFM)
150956083,2015-12-23,15:15:00,16.0,1200-1600,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",FELONY,MANHATTAN,14.0,TRANSIT - NYC SUBWAY,40.756043535,-73.986949544,"(40.756043535, -73.986949544)",67,42 ST-TIMES SQ,1237ACENQRS,IRT,42 ST-TIMES SQ (1237ACENQRS)
217347584,2015-12-22,09:00:00,12.0,0800-1200,"LARCENY,GRAND FROM PERSON, BAG OPEN/DIP",FELONY,MANHATTAN,14.0,TRANSIT - NYC SUBWAY,40.756043535,-73.986949544,"(40.756043535, -73.986949544)",67,42 ST-TIMES SQ,1237ACENQRS,IRT,42 ST-TIMES SQ (1237ACENQRS)
978815598,2015-12-12,18:00:00,20.0,1600-2000,"LARCENY,PETIT FROM OPEN AREAS,",MISDEMEANOR,MANHATTAN,10.0,TRANSIT - NYC SUBWAY,40.73975965,-74.00252386300001,"(40.73975965, -74.002523863)",20,14 ST/8 AV,ACEL,IND,14 ST/8 AV (ACEL)
401274604,2015-12-23,19:26:00,20.0,1600-2000,UNAUTH. SALE OF TRANS. SERVICE,MISDEMEANOR,MANHATTAN,14.0,TRANSIT - NYC SUBWAY,40.757240531,-73.98979363699999,"(40.757240531, -73.989793637)",66,42 ST-PA BUS TE,ACENGRS1237,IND,42 ST-PA BUS TE (ACENGRS1237)
676479644,2015-12-23,18:30:00,20.0,1600-2000,FALSE REPORT UNCLASSIFIED,MISDEMEANOR,MANHATTAN,1.0,TRANSIT - NYC SUBWAY,40.720636846,-74.005210778,"(40.720636846, -74.005210778)",133,CANAL ST,ACE,IND,CANAL ST (ACE)
373928078,2015-12-23,18:20:00,20.0,1600-2000,"FORGERY,ETC.,UNCLASSIFIED-FELO",FELONY,MANHATTAN,13.0,TRANSIT - NYC SUBWAY,40.74529529,-73.988730839,"(40.74529529, -73.988730839)",54,28 ST,NR,BMT,28 ST (NR)
779037733,2015-12-23,18:15:00,20.0,1600-2000,"LARCENY,GRAND FROM PERSON,PICK",FELONY,MANHATTAN,14.0,TRANSIT - NYC SUBWAY,40.754849215,-73.984119991,"(40.754849215, -73.984119991)",64,42 ST-BRYANT PK,BDFM7,IND,42 ST-BRYANT PK (BDFM7)
954459321,2015-12-23,18:10:00,20.0,1600-2000,"LARCENY,GRAND FROM PERSON,UNCL",FELONY,MANHATTAN,28.0,TRANSIT - NYC SUBWAY,40.807780621999996,-73.945484727,"(40.807780622, -73.945484727)",15,125 ST,23,IRT,125 ST (23)
830378009,2015-12-23,17:00:00,20.0,1600-2000,"ROBBERY,PERSONAL ELECTRONIC DEVICE",FELONY,MANHATTAN,5.0,TRANSIT - NYC SUBWAY,40.722308485999996,-73.997122534,"(40.722308486, -73.997122534)",179,SPRING ST,6,IRT,SPRING ST (6)
822322300,2015-12-23,16:55:00,20.0,1600-2000,"ROBBERY,PERSONAL ELECTRONIC DEVICE",FELONY,MANHATTAN,13.0,TRANSIT - NYC SUBWAY,40.738560221,-73.99968389600001,"(40.738560221, -73.999683896)",21,14 ST,123FLM,IRT,14 ST (123FLM)
196716294,2015-12-23,15:00:00,16.0,1200-1600,RESISTING ARREST,MISDEMEANOR,MANHATTAN,19.0,TRANSIT - NYC SUBWAY,40.779505997,-73.955585504,"(40.779505997, -73.955585504)",120,86 ST,456,IRT,86 ST (456)
647608693,2015-12-23,12:03:00,16.0,1200-1600,"FORGERY,ETC.,UNCLASSIFIED-FELO",FELONY,MANHATTAN,1.0,TRANSIT - NYC SUBWAY,40.720636846,-74.005210778,"(40.720636846, -74.005210778)",133,CANAL ST,ACE,IND,CANAL ST (ACE)
607299065,2015-12-23,10:10:00,12.0,0800-1200,"STOLEN PROPERTY 3,POSSESSION",MISDEMEANOR,MANHATTAN,5.0,TRANSIT - NYC SUBWAY,40.725440246,-73.996772441,"(40.725440246, -73.996772441)",127,B'WAY-LAFAYETTE,BDFQ6,IND,B'WAY-LAFAYETTE (BDFQ6)
